Date,IT Dep.,CostElement,Country,Budget
1/9/2020,Business Intelligence,Hardware Maintenance,USA,125
1/10/2020,Business Intelligence,Hardware Maintenance,USA,125
1/11/2020,Business Intelligence,Hardware Maintenance,USA,125
1/12/2020,Business Intelligence,Hardware Maintenance,USA,125
1/1/2020,Business Intelligence,Internal Labor,USA,"59,420"
1/2/2020,Business Intelligence,Internal Labor,USA,"60,567"
1/3/2020,Business Intelligence,Internal Labor,USA,"65,940"
1/4/2020,Business Intelligence,Internal Labor,USA,"61,026"
1/5/2020,Business Intelligence,Internal Labor,USA,"61,026"
1/6/2020,Business Intelligence,Internal Labor,USA,"61,026"
1/7/2020,Business Intelligence,Internal Labor,USA,"61,455"
1/8/2020,Business Intelligence,Internal Labor,USA,"61,451"
1/9/2020,Business Intelligence,Internal Labor,USA,"61,206"
1/10/2020,Business Intelligence,Internal Labor,USA,"62,287"
1/11/2020,Business Intelligence,Internal Labor,USA,"61,467"
1/12/2020,Business Intelligence,Internal Labor,USA,"61,322"
1/1/2020,Business Intelligence,Other,USA,50
1/2/2020,Business Intelligence,Other,USA,50
1/3/2020,Business Intelligence,Other,USA,50
1/4/2020,Business Intelligence,Other,USA,50
1/5/2020,Business Intelligence,Other,USA,50
1/6/2020,Business Intelligence,Other,USA,50
1/7/2020,Business Intelligence,Other,USA,50
1/8/2020,Business Intelligence,Other,USA,50
1/9/2020,Business Intelligence,Other,USA,50
1/10/2020,Business Intelligence,Other,USA,50
1/11/2020,Business Intelligence,Other,USA,50
1/12/2020,Business Intelligence,Other,USA,50
1/1/2020,Business Intelligence,Recognition,USA,26
1/2/2020,Business Intelligence,Recognition,USA,26
1/3/2020,Business Intelligence,Recognition,USA,26
1/4/2020,Business Intelligence,Recognition,USA,26
1/5/2020,Business Intelligence,Recognition,USA,26
1/6/2020,Business Intelligence,Recognition,USA,26
1/7/2020,Business Intelligence,Recognition,USA,26
1/8/2020,Business Intelligence,Recognition,USA,26
1/9/2020,Business Intelligence,Recognition,USA,26
1/10/2020,Business Intelligence,Recognition,USA,26
1/11/2020,Business Intelligence,Recognition,USA,26
1/12/2020,Business Intelligence,Recognition,USA,26
1/1/2020,Business Intelligence,Software,USA,70
1/2/2020,Business Intelligence,Software,USA,70
1/3/2020,Business Intelligence,Software,USA,70
1/4/2020,Business Intelligence,Software,USA,70
1/5/2020,Business Intelligence,Software,USA,70
1/6/2020,Business Intelligence,Software,USA,70
1/7/2020,Business Intelligence,Software,USA,70
1/8/2020,Business Intelligence,Software,USA,70
1/9/2020,Business Intelligence,Software,USA,70
1/10/2020,Business Intelligence,Software,USA,70
1/11/2020,Business Intelligence,Software,USA,70
1/12/2020,Business Intelligence,Software,USA,70
1/7/2020,Business Intelligence,Software Maintenance,USA,"5,396"
1/1/2020,Business Intelligence,Supplies,USA,210
1/2/2020,Business Intelligence,Supplies,USA,210
1/3/2020,Business Intelligence,Supplies,USA,210
1/4/2020,Business Intelligence,Supplies,USA,210
1/5/2020,Business Intelligence,Supplies,USA,210
1/6/2020,Business Intelligence,Supplies,USA,210
1/7/2020,Business Intelligence,Supplies,USA,210
1/8/2020,Business Intelligence,Supplies,USA,210
1/9/2020,Business Intelligence,Supplies,USA,210
1/10/2020,Business Intelligence,Supplies,USA,210
1/11/2020,Business Intelligence,Supplies,USA,210
1/12/2020,Business Intelligence,Supplies,USA,210
1/1/2020,Business Intelligence,Telecomm,USA,840
1/2/2020,Business Intelligence,Telecomm,USA,840
1/3/2020,Business Intelligence,Telecomm,USA,840
1/4/2020,Business Intelligence,Telecomm,USA,840
1/5/2020,Business Intelligence,Telecomm,USA,840
1/6/2020,Business Intelligence,Telecomm,USA,840
1/7/2020,Business Intelligence,Telecomm,USA,840
1/8/2020,Business Intelligence,Telecomm,USA,840
1/9/2020,Business Intelligence,Telecomm,USA,840
1/10/2020,Business Intelligence,Telecomm,USA,840
1/11/2020,Business Intelligence,Telecomm,USA,840
1/12/2020,Business Intelligence,Telecomm,USA,840
1/1/2020,Business Intelligence,Training,USA,"1,505"
1/2/2020,Business Intelligence,Training,USA,"1,505"
1/3/2020,Business Intelligence,Training,USA,"1,505"
1/4/2020,Business Intelligence,Training,USA,"1,505"
1/5/2020,Business Intelligence,Training,USA,"1,505"
1/6/2020,Business Intelligence,Training,USA,"1,505"
1/7/2020,Business Intelligence,Training,USA,"1,505"
1/8/2020,Business Intelligence,Training,USA,"1,505"
1/9/2020,Business Intelligence,Training,USA,"1,505"
1/10/2020,Business Intelligence,Training,USA,"1,505"
1/11/2020,Business Intelligence,Training,USA,"1,505"
1/12/2020,Business Intelligence,Training,USA,"1,505"
1/1/2020,Business Intelligence,Travel,USA,875
1/2/2020,Business Intelligence,Travel,USA,"2,975"
1/3/2020,Business Intelligence,Travel,USA,875
1/4/2020,Business Intelligence,Travel,USA,875
1/5/2020,Business Intelligence,Travel,USA,"2,975"
1/6/2020,Business Intelligence,Travel,USA,875
1/7/2020,Business Intelligence,Travel,USA,875
1/8/2020,Business Intelligence,Travel,USA,"2,975"
1/9/2020,Business Intelligence,Travel,USA,875
1/10/2020,Business Intelligence,Travel,USA,875
1/11/2020,Business Intelligence,Travel,USA,"2,975"
1/12/2020,Business Intelligence,Travel,USA,875
1/1/2020,Core,Employee Performance,USA,29
1/2/2020,Core,Employee Performance,USA,29
1/3/2020,Core,Employee Performance,USA,29
1/4/2020,Core,Employee Performance,USA,29
1/5/2020,Core,Employee Performance,USA,29
1/6/2020,Core,Employee Performance,USA,29
1/7/2020,Core,Employee Performance,USA,29
1/8/2020,Core,Employee Performance,USA,29
1/9/2020,Core,Employee Performance,USA,29
1/10/2020,Core,Employee Performance,USA,29
1/11/2020,Core,Employee Performance,USA,29
1/12/2020,Core,Employee Performance,USA,29
1/1/2020,Core,Internal Labor,USA,"19,397"
1/2/2020,Core,Internal Labor,USA,"20,544"
1/3/2020,Core,Internal Labor,USA,"21,380"
1/4/2020,Core,Internal Labor,USA,"19,729"
1/5/2020,Core,Internal Labor,USA,"19,729"
1/6/2020,Core,Internal Labor,USA,"19,729"
1/7/2020,Core,Internal Labor,USA,"19,852"
1/8/2020,Core,Internal Labor,USA,"19,852"
1/9/2020,Core,Internal Labor,USA,"19,852"
1/10/2020,Core,Internal Labor,USA,"20,161"
1/11/2020,Core,Internal Labor,USA,"19,945"
1/12/2020,Core,Internal Labor,USA,"19,812"
1/1/2020,Core,Other,USA,400
1/2/2020,Core,Other,USA,400
1/3/2020,Core,Other,USA,400
1/4/2020,Core,Other,USA,400
1/5/2020,Core,Other,USA,400
1/6/2020,Core,Other,USA,400
1/7/2020,Core,Other,USA,400
1/8/2020,Core,Other,USA,400
1/9/2020,Core,Other,USA,400
1/10/2020,Core,Other,USA,400
1/11/2020,Core,Other,USA,400
1/12/2020,Core,Other,USA,400
1/1/2020,Core,Recognition,USA,8
1/2/2020,Core,Recognition,USA,8
1/3/2020,Core,Recognition,USA,8
1/4/2020,Core,Recognition,USA,8
1/5/2020,Core,Recognition,USA,8
1/6/2020,Core,Recognition,USA,8
1/7/2020,Core,Recognition,USA,8
1/8/2020,Core,Recognition,USA,8
1/9/2020,Core,Recognition,USA,8
1/10/2020,Core,Recognition,USA,8
1/11/2020,Core,Recognition,USA,8
1/12/2020,Core,Recognition,USA,8
1/1/2020,Core Infrastructure,Depreciation,Brazil,"18,716"
1/2/2020,Core Infrastructure,Depreciation,Brazil,"18,716"
1/3/2020,Core Infrastructure,Depreciation,Brazil,"18,716"
1/4/2020,Core Infrastructure,Depreciation,Brazil,"18,716"
1/5/2020,Core Infrastructure,Depreciation,Brazil,"18,716"
1/6/2020,Core Infrastructure,Depreciation,Brazil,"18,716"
1/7/2020,Core Infrastructure,Depreciation,Brazil,"18,716"
1/8/2020,Core Infrastructure,Depreciation,Brazil,"18,716"
1/9/2020,Core Infrastructure,Depreciation,Brazil,"18,716"
1/10/2020,Core Infrastructure,Depreciation,Brazil,"18,716"
1/11/2020,Core Infrastructure,Depreciation,Brazil,"18,716"
1/12/2020,Core Infrastructure,Depreciation,Brazil,"18,716"
1/1/2020,Core Infrastructure,Depreciation,Canada,"12,617"
1/2/2020,Core Infrastructure,Depreciation,Canada,"12,617"
1/3/2020,Core Infrastructure,Depreciation,Canada,"12,617"
1/4/2020,Core Infrastructure,Depreciation,Canada,"12,617"
1/5/2020,Core Infrastructure,Depreciation,Canada,"12,617"
1/6/2020,Core Infrastructure,Depreciation,Canada,"12,617"
1/7/2020,Core Infrastructure,Depreciation,Canada,"12,617"
1/8/2020,Core Infrastructure,Depreciation,Canada,"12,617"
1/9/2020,Core Infrastructure,Depreciation,Canada,"12,617"
1/10/2020,Core Infrastructure,Depreciation,Canada,"12,617"
1/11/2020,Core Infrastructure,Depreciation,Canada,"12,617"
1/12/2020,Core Infrastructure,Depreciation,Canada,"12,617"
1/1/2020,Core Infrastructure,Depreciation,Mexico,"4,616"
1/2/2020,Core Infrastructure,Depreciation,Mexico,"4,616"
1/3/2020,Core Infrastructure,Depreciation,Mexico,"4,616"
1/4/2020,Core Infrastructure,Depreciation,Mexico,"4,616"
1/5/2020,Core Infrastructure,Depreciation,Mexico,"4,616"
1/6/2020,Core Infrastructure,Depreciation,Mexico,"4,616"
1/7/2020,Core Infrastructure,Depreciation,Mexico,"4,616"
1/8/2020,Core Infrastructure,Depreciation,Mexico,"4,616"
1/9/2020,Core Infrastructure,Depreciation,Mexico,"4,616"
1/10/2020,Core Infrastructure,Depreciation,Mexico,"4,616"
1/11/2020,Core Infrastructure,Depreciation,Mexico,"4,616"
1/12/2020,Core Infrastructure,Depreciation,Mexico,"4,616"
1/1/2020,Core Infrastructure,Depreciation,New Zealand,"82,256"
1/2/2020,Core Infrastructure,Depreciation,New Zealand,"82,256"
